place_id,nome,endereco,capital_busca,origem,match_tipo,grupo_categoria,categorias_google,avaliacao_media,volume_avaliacoes,status_google,ultima_avaliacao_data,ativo_6m,site_ou_rede_social,instagram_usuario,telefone,link_google_maps,data_coleta,evidencia_espaco_jogo,relevante,politica_precificacao,modelo_alimentacao_bebidas,acervo_declarado
ChIJ5yyvSiKxGgcRGRWdYwkSrIQ,Nakamura Games,"Av. Prof. José Freitas de Andrade, 3749 - Coroa do Meio, Aracaju - SE, 49035-680, Brazil",Aracaju,busca_automatica,nome,loja,point_of_interest;store;establishment,4.9,476,OPERATIONAL,,inconclusivo,https://api.whatsapp.com/send?phone=557933021690,,,https://maps.google.com/?cid=9560035940535964953&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJHzzj8P2xGgcRciRc3tdR4-8,"Nanda brinquedos - Aluguel de Inflaveis, touro mecanico, futebol de sabão, tobogã","Av. Silvério Leite Fontes - Aruana, Aracaju - SE, 49038-260, Brazil",Aracaju,busca_automatica,nome,outro,point_of_interest;establishment,5,145,OPERATIONAL,2026-05-04,sim,http://www.nandabrinquedos.com/,,+55 79 99968-9060,https://maps.google.com/?cid=17285749782368494706&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJgUmct368AyERlF3sHZlR6xw,Nyquist Games,"R. Euclídes Góis - Coroa do Meio, Aracaju - SE, 49035-310, Brazil",Aracaju,busca_automatica,nome,loja,store;point_of_interest;establishment,5,1,OPERATIONAL,,inconclusivo,https://www.instagram.com/nyquist.games/,nyquist.games,+55 79 99110-4172,https://maps.google.com/?cid=2083848970662862228&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJk5_aLwCzGgcRm3096HT42cs,Play Games Aracaju | Parque Shopping,"Av. João Rodrigues, 42 - Industrial, Aracaju - SE, 49065-450, Brazil",Aracaju,busca_automatica,nome,loja,store;point_of_interest;establishment,5,1,OPERATIONAL,2025-12-30,inconclusivo,,,,https://maps.google.com/?cid=14689044840641822107&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJVdzA2r6xGgcRSlifGZ6sFcQ,RPG Comando,"rua, 98 - Aruana, Aracaju - SE, 49000-689, Brazil",Aracaju,busca_automatica,nome,outro,point_of_interest;service;establishment,,0,OPERATIONAL,,inconclusivo,,,+55 79 98138-3044,https://maps.google.com/?cid=14129389200979482698&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJWRzlpWmzGgcR_Jo6zSBwWGk,Sandro games oficial,"Avenida Mascarenhas de Morais - Centro, Aracaju - SE, 49010-010, Brazil",Aracaju,busca_automatica,nome,loja,store;point_of_interest;establishment,3.8,10,OPERATIONAL,,inconclusivo,,,+55 79 99822-4404,https://maps.google.com/?cid=7590940458117405436&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJU4Wj-2mzGgcR0Jw7mlyGN-Q,Tabuleiro do Acarajé,"R. Rio Grande do Sul, 197 - Siqueira Campos, Aracaju - SE, 49075-510, Brazil",Aracaju,busca_automatica,nome,alimentos_bebidas,cocktail_bar;bar;restaurant;food;point_of_interest;establishment,4,4,OPERATIONAL,2024-01-18,inconclusivo,https://instagram.com/_tabuleirodoacaraje?igshid=NDk5N2NlZjQ=,_tabuleirodoacaraje,+55 79 99662-2033,https://maps.google.com/?cid=16444760296649366736&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJ7RCGLeuJf00RljVImieDL5Y,Tabulendário - Jogos de Tabuleiro / Boardgames em Aracaju,"Av. Conselheiro João Moreira Filho, 2151 - Coroa do Meio, Aracaju - SE, 49035-655, Brazil",Aracaju,busca_automatica,nome,outro,association_or_organization;point_of_interest;establishment,4.5,8,OPERATIONAL,2026-03-05,inconclusivo,https://www.tabulendario.com/,,+55 79 98135-5465,https://maps.google.com/?cid=10822012635709978006&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJ13nDt46zGgcRRUaT9vaaEek,True King's Card Shop,"R. Gen. Chaves, 107 - Sala 2 - São José, Aracaju - SE, 49015-310, Brazil",Aracaju,busca_automatica,nome,loja,store;point_of_interest;establishment,5,7,OPERATIONAL,,inconclusivo,https://mypcards.com/TrueKingsStore/yugioh,,+55 79 99602-4568,https://maps.google.com/?cid=16794374870930769477&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJjZAoSWazGgcRC0eKTbZyZp8,World Of Games,"Av. Moacir Oliveira - Marcos Freire I, Nossa Sra. do Socorro - SE, 49152-378, Brazil",Aracaju,busca_automatica,nome,loja,store;point_of_interest;establishment,4.7,87,OPERATIONAL,,inconclusivo,https://www.instagram.com/world_ofgames10/,world_ofgames10,+55 79 99122-7194,https://maps.google.com/?cid=11485994026965550859&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJ__9TTnxCzpQRwVSzrOijkRY,Bravo Jogos,"Rua Coronel Alfredo Flaquer, 411 - Centro, Santo André - SP, 09020-030, Brazil",Aracaju;Belo Horizonte;Boa Vista;Brasília;Campo Grande;Cuiabá;Curitiba;Florianópolis;Goiânia;João Pessoa;Macapá;Maceió;Manaus;Natal;Palmas;Porto Alegre;Recife;Rio de Janeiro;Salvador;São Luís;São Paulo,busca_automatica,nome,loja,toy_store;store;point_of_interest;establishment,4.9,1719,OPERATIONAL,2025-09-07,inconclusivo,https://bravojogos.com.br/,,+55 11 4427-1724,https://maps.google.com/?cid=1626261160182633665&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJO9bPE0GdEZURRD6c41YpCRI,Beer & Boards,"R. Gen. Abreu, 342 - Cidade Nova, Rio Grande - RS, 96202-570, Brazil",Aracaju;Belém;Boa Vista;Campo Grande;Natal;Porto Velho;Rio de Janeiro,busca_automatica,nome+avaliacao,alimentos_bebidas,bar;restaurant;point_of_interest;food;establishment,4.8,96,OPERATIONAL,2026-07-05,sim,http://bbludobar.acervodejogos.com.br/,,,https://maps.google.com/?cid=1299615420635692612&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJY_lqHVLl3JQRvDHacOMDKuc,BoardZ Game Pub,"R. Chile, 2077 - Rebouças, Curitiba - PR, 80220-181, Brazil",Aracaju;Boa Vista;Campo Grande;Curitiba;João Pessoa;Rio de Janeiro,busca_automatica,nome+avaliacao,alimentos_bebidas,hamburger_restaurant;american_restaurant;restaurant;food;point_of_interest;establishment,4.8,776,OPERATIONAL,2024-11-09,inconclusivo,https://boardzgamepub.com.br/,,+55 41 3078-9343,https://maps.google.com/?cid=16657130447169008060&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJoSChlA1JJ5URNj9RlBZxa6U,Caverna do Coelho | Aluguel de Jogos de Tabuleiro,"R. César Zuchinali, 12 - Serraria, São José - SC, 88115-210, Brazil",Aracaju;Florianópolis,busca_automatica,nome,loja,point_of_interest;store;establishment,5,23,OPERATIONAL,2026-08-03,sim,https://cavernadocoelho.acervodejogos.com.br/,,+55 48 99670-1561,https://maps.google.com/?cid=11919745180557721398&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJhSTdlebzXpMRf01LEaFa--8,Ludris Casa de Boardgames,"R. 6-A, 830 - Qd 58 Lt 12 - St. Aeroporto, Goiânia - GO, 74070-070, Brazil",Aracaju;Goiânia;Natal,busca_automatica,nome+avaliacao,loja,store;point_of_interest;establishment,4.9,82,OPERATIONAL,2026-08-07,sim,https://www.instagram.com/ludrisboardgames/,ludrisboardgames,+55 62 98644-7637,https://maps.google.com/?cid=17292514842045533567&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJX0sGb3bxXpMRIGplcKaQaeQ,Reino Lúdico - Aluguel de Jogos de Tabuleiro,"Av. 136, 62 - St. Marista, Goiânia - GO, 74840-540, Brazil",Aracaju;Goiânia;Natal,busca_automatica,nome,loja,store;point_of_interest;association_or_organization;establishment,4.8,23,OPERATIONAL,2025-06-22,inconclusivo,http://www.reinoludico.com.br/,,+55 62 99624-4210,https://maps.google.com/?cid=16458845357726853664&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJNcHw7jNYzpQRKRHPOrb4jEw,Play Easy,"R. Pedro Taques, 47 - Cerqueira César, São Paulo - SP, 01415-010, Brazil",Aracaju;Natal;Porto Alegre;São Paulo;Vitória,busca_automatica,avaliacao,loja,association_or_organization;toy_store;store;point_of_interest;establishment,4.7,1002,OPERATIONAL,2026-05-01,sim,https://playeasy.com.br/,,+55 11 2594-9933,https://maps.google.com/?cid=5516057105176400169&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJJe6LbmTP2JQRekuDVD0eEVA,Ludonave - Jogos e Drinks,"R. Osvaldo Schimitz, 26 - Gravatá, Navegantes - SC, 88372-706, Brazil",Aracaju;Rio Branco;São Luís,busca_automatica,nome,outro,association_or_organization;point_of_interest;establishment,5,11,OPERATIONAL,2025-01-14,inconclusivo,https://www.ludonave.com.br/,,+55 47 99708-2864,https://maps.google.com/?cid=5769425846398045050&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJmeoX-RpZzpQR4joLam_WngM,Akagami Card Games e Colecionáveis,"R. Antônio Carlos, 686 - Cerqueira César, São Paulo - SP, 01309-010, Brazil",Aracaju;São Paulo,busca_automatica,nome,loja,toy_store;store;point_of_interest;establishment,4.7,59,OPERATIONAL,,inconclusivo,https://akagami.com.br/,,+55 11 98409-3995,https://maps.google.com/?cid=260881602442902242&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJbZRHQPRfzpQRz97-ZOg0yXA,Castelos Bar & Boardgames,"R. Serra de Botucatu, 995 - Vila Gomes Cardim, São Paulo - SP, 03317-000, Brazil",Aracaju;São Paulo,busca_automatica,nome+avaliacao,alimentos_bebidas,bar;association_or_organization;point_of_interest;establishment,4.6,617,OPERATIONAL,2024-08-15,inconclusivo,http://www.castelosbar.com.br/,,+55 11 3564-0577,https://maps.google.com/?cid=8127085175298252495&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJEXWGxDD5zpQRc6mmlhKeyuI,Meca dos Jogos - Loja de Boardgames!,"R. Jesuíno Antônio Batista, 417 - Jardim Guarani, São Paulo - SP, 02851-080, Brazil",Aracaju;São Paulo,busca_automatica,nome,loja,store;point_of_interest;association_or_organization;establishment,4.8,47,OPERATIONAL,,inconclusivo,https://www.mecadosjogos.com.br/,,+55 11 94932-6543,https://maps.google.com/?cid=16342048000541370739&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJD5tSQNebpgARQ1brfo_AqeM,Abelha Lunar Brinquedos,"R. Geraldo Faria de Souza, 872 - Sagrada Família, Belo Horizonte - MG, 31035-510, Brazil",Belo Horizonte,busca_automatica,nome,loja,toy_store;manufacturer;store;point_of_interest;establishment,5,50,OPERATIONAL,,inconclusivo,,,+55 31 98562-0631,https://maps.google.com/?cid=16404854840215950915&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJ2eMCGACRpgARoWEjX5VaIkI,Arcade Save Point,"Av. Sebastião de Brito, 287 - Sl 3 - Dona Clara, Belo Horizonte - MG, 31260-000, Brazil",Belo Horizonte,triagem_manual,,outro,video_arcade;association_or_organization;point_of_interest;establishment,4.6,14,OPERATIONAL,,inconclusivo,,,+55 31 99901-3047,https://maps.google.com/?cid=4765470953304187297&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,sim,,,,
ChIJDTIXkfuZpgAR4Wd-CrQu2Ik,BH Games,"R. Curvelo, 32 - Lj 15 - Floresta, Belo Horizonte - MG, 31015-172, Brazil",Belo Horizonte,busca_automatica,nome,loja,toy_store;point_of_interest;store;establishment,4.5,585,OPERATIONAL,,inconclusivo,http://www.bhgames.com.br/,,+55 31 2526-6990,https://maps.google.com/?cid=9932740328970676193&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJ_fSU_we_pgARXrRXapfLc9k,Brinquedolândia Casa de Brincar,"Av. Sinfrônio Brochado, 1420 - Barreiro, Belo Horizonte - MG, 30640-000, Brazil",Belo Horizonte,busca_automatica,nome,outro,point_of_interest;establishment,4.5,2,OPERATIONAL,2021-05-10,inconclusivo,https://instagram.com/brinquedolandiabh?igshid=119ep3oq0ddi,brinquedolandiabh,+55 31 98956-4467,https://maps.google.com/?cid=15669091379736720478&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJQ-UyX32bpgARJcyelgu6UGk,"Clube Mineiro de Wargames: Warhammer, Age of Sigmar, One Page Rules, Senhor dos Anéis, FrostGrave e muito mais.","R. Padre Júlio Maria, 93 - Vera Cruz, Belo Horizonte - MG, 30285-360, Brazil",Belo Horizonte,busca_automatica,nome,outro,point_of_interest;association_or_organization;establishment,,0,OPERATIONAL,,inconclusivo,https://www.instagram.com/cm.wargame/,cm.wargame,+55 31 3452-5920,https://maps.google.com/?cid=7588769931053681701&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJpzB8zc2XpgARoJTUu90J6Pw,Comdado Bar e Jogos,"Av. Amazonas, 2310 - Santo Agostinho, Belo Horizonte - MG, 30180-012, Brazil",Belo Horizonte,busca_automatica,nome+avaliacao,alimentos_bebidas,cocktail_bar;bar;restaurant;food;store;point_of_interest;association_or_organization;establishment,4.4,158,OPERATIONAL,2025-12-07,inconclusivo,http://www.comdado.bar/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2515633343614986524,,+55 31 99935-2525,https://maps.google.com/?cid=18223826740098405536&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJbUrly6CZpgARus1v7UATQH8,DayTrade Magic,"Av. Prudente de Morais, 621 - Lj 10 - Santo Antônio, Belo Horizonte - MG, 30350-143, Brazil",Belo Horizonte,busca_automatica,nome,loja,store;point_of_interest;establishment,5,36,OPERATIONAL,,inconclusivo,http://www.daytrademagic.com.br/,,+55 31 99512-4584,https://maps.google.com/?cid=9169350010908691898&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJccry2YO9pgARysaQPaSV1JI,Dimensão Alternativa,"R. Aurora, 11 - Miramar (Barreiro), Belo Horizonte - MG, 30644-080, Brazil",Belo Horizonte,busca_automatica,avaliacao,loja,toy_store;store;point_of_interest;establishment,4.9,44,OPERATIONAL,2026-06-26,sim,https://www.dimensaoalternativa.com.br/,,+55 31 97501-6060,https://maps.google.com/?cid=10580245957240211146&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJAVe-obmWpgARQx8-GQoKutU,Elite Games BH,"Xingu Mall - Av. Abílio Machado, 1664 - Box 97/98 - Alípio de Melo, Belo Horizonte - MG, 30830-000, Brazil",Belo Horizonte,busca_automatica,nome,loja,electronics_store;store;point_of_interest;establishment,4.5,652,OPERATIONAL,,inconclusivo,http://www.elitegamesbh.com/,,+55 31 99131-0191,https://maps.google.com/?cid=15400632914236284739&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJw_XYxmaZpgARvqB0k8rFBs8,Game X,"Av. Augusto de Lima, 479 - Sl 1511 - Centro, Belo Horizonte - MG, 30190-000, Brazil",Belo Horizonte,busca_automatica,nome,loja,store;point_of_interest;establishment,4.9,968,OPERATIONAL,,inconclusivo,http://www.gamexbh.com.br/,,+55 31 3646-3810,https://maps.google.com/?cid=14917828289559306430&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
ChIJsUAT-dObpgARCT2C5QpnVKU,Garagem do Nerd,"R. Padre Júlio Maria, 93 - Vera Cruz, Belo Horizonte - MG, 30285-360, Brazil",Belo Horizonte,busca_automatica,nome+avaliacao,outro,sports_club;association_or_organization;point_of_interest;establishment,4.9,244,OPERATIONAL,2024-12-04,inconclusivo,https://garagemdonerd.com.br/,,+55 31 3452-5920,https://maps.google.com/?cid=11913260210799656201&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJT0SWTE6RpgARR_MPTjPyxTk,Hango jogos,"R. Cerqueira Leite, 18 - Universitário, Belo Horizonte - MG, 31255-440, Brazil",Belo Horizonte,busca_automatica,nome,outro,point_of_interest;association_or_organization;establishment,,0,OPERATIONAL,,inconclusivo,,,+55 31 97557-0099,https://maps.google.com/?cid=4162999732740813639&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJ03bxSvSXpgARB1Fujm1ryEA,JogArtClub • Comes & Jogas,"R. Nadir, 450 - Caiçara-Adelaide, Belo Horizonte - MG, 30770-420, Brazil",Belo Horizonte,busca_automatica,avaliacao,alimentos_bebidas,restaurant;point_of_interest;food;establishment,5,49,OPERATIONAL,2026-05-25,sim,https://www.jogartclub.com.br/,,+55 31 99760-9671,https://maps.google.com/?cid=4668099132054720775&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJPUgkC_KXpgARgDePGmyys7o,Kairós Ludo - Aluguel de jogos de tabuleiro em BH,"Rua Platano, 121 - Marajó, Belo Horizonte - MG, 30570-160, Brazil",Belo Horizonte,busca_automatica,nome,loja,toy_store;association_or_organization;store;point_of_interest;establishment,5,10,OPERATIONAL,2025-12-30,inconclusivo,https://www.kairosludo.com.br/,,+55 31 99948-5861,https://maps.google.com/?cid=13453292689257609088&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJM0tqs8-ZpgARGlhNEPVUppw,Kinde Brinquedos | Mangabeiras,"Av. dos Bandeirantes, 506 - Mangabeiras, Belo Horizonte - MG, 30315-382, Brazil",Belo Horizonte,busca_automatica,nome,loja,toy_store;store;point_of_interest;establishment,5,590,OPERATIONAL,2025-12-19,inconclusivo,http://www.kinde.com.br/,,+55 31 2510-0037,https://maps.google.com/?cid=11287802927567951898&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJS8UKmRubpgARAQYQ48_VuI8,Ludo 3D,"R. Herval, 481 - Serra, Belo Horizonte - MG, 30240-010, Brazil",Belo Horizonte,busca_automatica,nome,outro,point_of_interest;service;establishment,5,6,OPERATIONAL,2021-11-11,inconclusivo,http://www.ludo3d.com.br/,,+55 31 99885-4183,https://maps.google.com/?cid=10356262431982880257&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-01,,,,,
ChIJW3LzC-OZpgARnd4gdGxlzeA,MK Games BH,"R. da Bahia, 1032 - Sl 606 - Centro, Belo Horizonte - MG, 30160-010, Brazil",Belo Horizonte,busca_automatica,nome,loja,point_of_interest;store;establishment,4.9,3473,OPERATIONAL,,inconclusivo,http://www.mkgamesbh.com.br/,,+55 31 2527-0858,https://maps.google.com/?cid=16198714951200726685&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,2026-09-16,,,,,
