place_id,nome,endereco,capital_busca,match_tipo,categorias_google,avaliacao_media,volume_avaliacoes,site_ou_rede_social,telefone,link_google_maps,status_google,relevante,politica_precificacao,modelo_alimentacao_bebidas,acervo_declarado
ChIJbSfwVQDhYY0Rx5aY3a7TZzQ,Board House - Jogos de Tabuleiro,"Av. Desidério Antônio Coelho, 1189 - Trem, Macapá - AP, 68901-080, Brazil",Macapá,nome,hamburger_restaurant;american_restaurant;restaurant;food;point_of_interest;establishment,4.6,32,,,https://maps.google.com/?cid=3776219560568985287&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJY_lqHVLl3JQRvDHacOMDKuc,BoardZ Game Pub,"R. Chile, 2077 - Rebouças, Curitiba - PR, 80220-181, Brazil",Aracaju;Boa Vista;Campo Grande;Curitiba;João Pessoa;Rio de Janeiro,nome+avaliacao,hamburger_restaurant;american_restaurant;restaurant;food;point_of_interest;establishment,4.8,776,https://boardzgamepub.com.br/,+55 41 3078-9343,https://maps.google.com/?cid=16657130447169008060&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJKeHwNv5ZzpQRlmzx9rCTWdM,Bodogami Restaurante e Cafeteria,"Av. da Liberdade, 456 - Liberdade, São Paulo - SP, 01502-001, Brazil",Boa Vista;Goiânia;Rio de Janeiro;São Paulo,nome,restaurant;coffee_shop;bar;food_store;cafe;food;point_of_interest;store;establishment,4.6,3386,https://www.bodogami.com.br/,+55 11 97702-8516,https://maps.google.com/?cid=15229366003196587158&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJGTvSWgCDmQARyu8hVg-kaSw,Bubble Planet - Lanchonete e Cardgames,"Av. Roberto Silveira, 349 - loja 103 - Icaraí, Niterói - RJ, 24230-152, Brazil",Rio de Janeiro,nome,snack_bar;meal_takeaway;toy_store;store;restaurant;food;point_of_interest;establishment,4.6,28,https://www.instagram.com/bubbleplanetofficial,+55 21 97404-4276,https://maps.google.com/?cid=3200269395999977418&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJfyav9YI9uAARjwbBqcRm2_k,Café Geek Cafeteria e Ludoteca,"R. São Marcos, 127 - Santa Inês, Vila Velha - ES, 29108-050, Brazil",Boa Vista;Vitória,nome,coffee_shop;cafe;food_store;food;store;point_of_interest;establishment,5,148,,+55 27 99283-8020,https://maps.google.com/?cid=18004096930191312527&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJrT_EWwBZzpQRGAZzptZbtsY,Cartola Luderia Bar,"R. Dr. Siqueira Campos, 42 - Liberdade, São Paulo - SP, 01153-000, Brazil",São Paulo,nome+avaliacao,bar;point_of_interest;establishment,4.7,242,,+55 11 98818-6051,https://maps.google.com/?cid=14318733042744755736&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJbZRHQPRfzpQRz97-ZOg0yXA,Castelos Bar & Boardgames,"R. Serra de Botucatu, 995 - Vila Gomes Cardim, São Paulo - SP, 03317-000, Brazil",Aracaju;São Paulo,nome+avaliacao,bar;association_or_organization;point_of_interest;establishment,4.6,617,http://www.castelosbar.com.br/,+55 11 3564-0577,https://maps.google.com/?cid=8127085175298252495&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJc3F7ka83J5URQZ1XTl-_iak,Chef on Play,"Rua kk - atrás do bem bolado bar - Praça Atílio ferreira, 07 - Trindade, Florianópolis - SC, 88080-701, Brazil",Florianópolis,avaliacao,restaurant;sandwich_shop;food;point_of_interest;establishment,4.6,1204,,+55 48 3025-2433,https://maps.google.com/?cid=12216505880276344129&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJJz8-gcY3J5URYdZrEXdHaAk,Cineplay- Restaurante e Jogos,"R. Getúlio Vargas, 362 - Centro, São José - SC, 88103-400, Brazil",Florianópolis,nome,restaurant;bar;food;point_of_interest;establishment,4.5,1154,,+55 48 99178-9013,https://maps.google.com/?cid=677870320638219873&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJpzB8zc2XpgARoJTUu90J6Pw,Comdado Bar e Jogos,"Av. Amazonas, 2310 - Santo Agostinho, Belo Horizonte - MG, 30180-012, Brazil",Belo Horizonte,nome+avaliacao,cocktail_bar;bar;restaurant;food;store;point_of_interest;association_or_organization;establishment,4.4,158,http://www.comdado.bar/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2515633343614986524,+55 31 99935-2525,https://maps.google.com/?cid=18223826740098405536&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJ7_DDAlH1zpQRJVJ0UHnItH8,Covil Game Bar,"Rua do Saboó, 12 - Jardim Barbosa, Guarulhos - SP, 07111-030, Brazil",São Paulo,nome,bar;point_of_interest;establishment,4.6,1714,https://www.facebook.com/covilgb/,+55 11 95021-1461,https://maps.google.com/?cid=9202200361991164453&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJk4ZqIH1_mQARrByPymrpe7E,Donna Gastrobar,"R. Dezenove de Fevereiro, 165 - Botafogo, Rio de Janeiro - RJ, 22280-030, Brazil",Rio de Janeiro,avaliacao,gastropub;bar;restaurant;point_of_interest;food;establishment,4.5,99,http://www.donnagastrobar.com/,+55 21 98384-8831,https://maps.google.com/?cid=12789072211722837164&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJZz29dnVXzpQRvRh7_YKyUN4,Encounter | Jogos de Tabuleiro | Board Games,"Av. dos Eucaliptos, 204 - Moema, São Paulo - SP, 04517-050, Brazil",Belém;Campo Grande;João Pessoa;Maceió;Recife;São Paulo,nome,association_or_organization;restaurant;food;point_of_interest;establishment,4.8,1123,https://www.instagram.com/encounter.bg/,+55 11 97225-4090,https://maps.google.com/?cid=16019500150225049789&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJO23CtJA5jgcRB1ZMVm4R8Ak,Espaco Caramelles,"R. João Emílio Falcão, 338 - Fátima, Teresina - PI, 64049-480, Brazil",Teresina,avaliacao,restaurant;food;point_of_interest;establishment,4.4,98,https://www.instagram.com/espacocaramelles/,+55 86 99442-3810,https://maps.google.com/?cid=716091506343826951&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJyXjE650xWpMRJL-J6QbGkt4,FORTALÚDICA - BURGERS & JOGOS,"Guará II QE 26 BLOCO B Lj 31 - Guará, Brasília - DF, 71060-621, Brazil",Brasília,nome+avaliacao,hamburger_restaurant;toy_store;american_restaurant;restaurant;food;store;point_of_interest;association_or_organization;establishment,4.8,105,http://www.fortaludica.com.br/,+55 61 98260-2566,https://maps.google.com/?cid=16038098956009979684&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJ_aN4OAxXzpQR0UH63sAeVCA,Fan Hour Games and Burgers,"R. Artur de Azevedo, 898 - Pinheiros, São Paulo - SP, 05404-002, Brazil",São Paulo,nome,hamburger_restaurant;american_restaurant;restaurant;food;point_of_interest;establishment,4.5,2363,http://www.fanhour.com.br/,+55 11 3063-2070,https://maps.google.com/?cid=2329520720980885969&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJa3UsDhRczpQRPPSuDl6acO8,"Flow Games - Burgers, Cards & Comunidade","Rua Dona Genoveva D'Ascoli, 17 - Vila Prudente, São Paulo - SP, 03132-070, Brazil",São Paulo,nome+avaliacao,hamburger_restaurant;american_restaurant;toy_store;restaurant;point_of_interest;association_or_organization;store;food;establishment,4.6,503,https://www.flowstore.com.br/,+55 11 91475-3637,https://maps.google.com/?cid=17253459901220320316&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJPQW4z7ArQwsRByCgIudP3lI,Game On,"R. do Mercado 16, 9500-326 Ponta Delgada, Portugal",Boa Vista,nome+avaliacao,cafe;tourist_attraction;sandwich_shop;toy_store;restaurant;food;point_of_interest;association_or_organization;store;establishment,4.8,167,https://www.gameon.cafe/,,https://maps.google.com/?cid=5971298010076815367&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJsTy8gUxLxwcRCKRfkhIP8zM,Games bar,"R. Coelho Neto, 1767 - Barra do Ceará, Fortaleza - CE, 60336-210, Brazil",Fortaleza,nome,bar;point_of_interest;establishment,5,4,,+55 85 98881-5849,https://maps.google.com/?cid=3743352287714583560&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJ0ftSGFzw3JQRtoakn1mqyOs,Geek Burguer,"Alameda Dr. Carlos de Carvalho, 805 - Centro, Curitiba - PR, 80410-180, Brazil",Curitiba,avaliacao,hamburger_restaurant;american_restaurant;restaurant;point_of_interest;food;establishment,4.4,2141,https://instagram.com/geekburguer?utm_medium=copy_link,,https://maps.google.com/?cid=16990016896162367158&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJU4gvvaJXzpQR1SPX6E4t1jQ,Good Game E-Sports Bar,"R. Mourato Coelho, 992 - Pinheiros, São Paulo - SP, 05417-001, Brazil",São Paulo,nome,sports_bar;juice_shop;hookah_bar;hamburger_restaurant;car_repair;american_restaurant;bar;restaurant;service;store;point_of_interest;food;establishment,4.2,1104,http://www.ggesportsbar.com.br/,+55 11 99933-2828,https://maps.google.com/?cid=3807280351925445589&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJb0TXDUndrAcRi0y4ut782Hw,Grão-Mestre Luderia,"R. Antônio Gama, 669 - Expedicionários, João Pessoa - PB, 58041-110, Brazil",João Pessoa,nome,association_or_organization;store;restaurant;food;point_of_interest;establishment,4.7,569,http://www.instagram.com/graomestreluderia,+55 83 99301-6996,https://maps.google.com/?cid=8996218289218145419&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJcRvp0r15GZURj1bFNF3n5jw,HEX Board Game Café,"R. Riachuelo, 1339 - Sala 1003 ( Cobertura - Centro Histórico, Porto Alegre - RS, 90010-270, Brazil",Belém;Boa Vista;Brasília;Campo Grande;Cuiabá;Florianópolis;Fortaleza;Goiânia;Macapá;Maceió;Manaus;Natal;Porto Alegre;Rio Branco;Rio de Janeiro;São Luís;São Paulo;Teresina;Vitória,nome+avaliacao,cafe;association_or_organization;point_of_interest;food;establishment,5,84,http://www.hex.poa.br/,+55 51 99805-2122,https://maps.google.com/?cid=4388449274422449807&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJ73mEeqQdzpQRKti9DbyjiWM,House Rules Ludobar,"Av. São Paulo, 614 - Boqueirão, Praia Grande - SP, 11701-380, Brazil",Boa Vista;Campo Grande;Natal;São Paulo,nome+avaliacao,restaurant;food;point_of_interest;establishment,5,91,https://www.instagram.com/houserules.ludobar/,+55 13 98840-3386,https://maps.google.com/?cid=7172443909643950122&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJ03bxSvSXpgARB1Fujm1ryEA,JogArtClub • Comes & Jogas,"R. Nadir, 450 - Caiçara-Adelaide, Belo Horizonte - MG, 30770-420, Brazil",Belo Horizonte,avaliacao,restaurant;point_of_interest;food;establishment,5,49,https://www.jogartclub.com.br/,+55 31 99760-9671,https://maps.google.com/?cid=4668099132054720775&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJFXw-sPbohpQR5eMb1gcDtNs,Joga Burger,"Av. Nelly Martins, 76 - Portal Itayara, Campo Grande - MS, 79032-295, Brazil",Campo Grande,avaliacao,hamburger_restaurant;cocktail_bar;fast_food_restaurant;ice_cream_shop;dessert_shop;bar;confectionery;food_store;american_restaurant;restaurant;food;store;point_of_interest;association_or_organization;establishment,4.5,1895,http://www.jogaburger.com.br/,+55 67 3201-8724,https://maps.google.com/?cid=15831281922305942501&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJOczn8z7l3JQRNBEL_ZJ3iQo,Joyjoy Café,"Av. Presidente Affonso Camargo, 1939 - Lj 02 - Cristo Rei, Curitiba - PR, 80050-370, Brazil",Boa Vista;Curitiba,avaliacao,coffee_shop;cafe;association_or_organization;food_store;store;point_of_interest;food;establishment,4.8,690,http://www.joyjoycafe.com.br/,+55 41 99176-9659,https://maps.google.com/?cid=759269485382930740&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJTREzOpy1vJURTHsozRQq00s,La Board Game House,"Aguirre 938, C1414 Cdad. Autónoma de Buenos Aires, Argentina",Boa Vista,nome+avaliacao,coffee_shop;food_store;cafe;association_or_organization;store;food;point_of_interest;establishment,4.6,592,http://laboardgamehouse.com/,+54 11 2389-6420,https://maps.google.com/?cid=5463757041760238412&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJO8W2hThfzpQRjeWplqhAyKQ,Lendário Game Bar,"No mesmo prédio da Lendário Card Games - Av. Celso Garcia, 4367 - Tatuapé, São Paulo - SP, 03063-000, Brazil",São Paulo,nome+avaliacao,hamburger_restaurant;american_restaurant;restaurant;food;point_of_interest;establishment,5,88,,,https://maps.google.com/?cid=11873811510388712845&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJzdFNP3AyWpMRH2P6HEuhE-I,Loja de Jogos - Asgard,"Rua 25 Sul, Lote 30 Bloco A loja 1 - Águas Claras, Brasília - DF, 71928-720, Brazil",Brasília,nome+avaliacao,toy_store;bar;store;point_of_interest;establishment,4.7,754,https://www.asgardstore.com.br/,+55 61 3052-5345,https://maps.google.com/?cid=16290541621110006559&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJD_AkIuqP9gcRS0iQfgupyPo,Ludo bar,"Rua Jansen Muller, 12 - Centro, São Luís - MA, 65020-290, Brazil",São Luís,nome,bar;point_of_interest;establishment,4.3,199,,+55 98 3222-8482,https://maps.google.com/?cid=18070879371657234507&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,CLOSED_PERMANENTLY,,,,
ChIJx5jr3zGXpgARQGx9eX7TDmY,LudoCafé,"R. Antônio Dias, 201 - Santo Antônio, Belo Horizonte - MG, 30350-150, Brazil",Belo Horizonte;Recife,nome+avaliacao,cocktail_bar;bar;coffee_shop;food_store;cafe;store;restaurant;food;point_of_interest;establishment,4.6,585,http://www.ludocafe.com.br/,+55 31 3646-6046,https://maps.google.com/?cid=7354047781700201536&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJnbTgfgeS9gcRP8n5nhD7iWs,Ludorama,"R. dos Bicudos, 8 - Jardim Renascença, São Luís - MA, 65075-090, Brazil",São Luís,nome,hamburger_restaurant;cocktail_bar;liquor_store;toy_store;bar;american_restaurant;restaurant;food;store;point_of_interest;establishment,4.7,814,,+55 98 98457-0621,https://maps.google.com/?cid=7749000682672867647&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJ-97tiEeNpJIRb_eV7a-sxBs,Ludoteca Sidequest,"Av. Visc. de Souza Franco, 1313 - Umarizal, Belém - PA, 66053-000, Brazil",Belém,nome+avaliacao,snack_bar;hamburger_restaurant;coffee_shop;cafe;meal_takeaway;food_store;american_restaurant;restaurant;food;store;point_of_interest;establishment,4.8,327,https://ludotecasidequest.com.br/,+55 91 98561-3484,https://maps.google.com/?cid=2000914006064625519&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJTaG5ALpZzpQRUDErQ-RkfTs,Ludus Luderia,"R. Treze de Maio, 972 - Bela Vista, São Paulo - SP, 01327-000, Brazil",Belém;Boa Vista;Campo Grande;Cuiabá;Macapá;Maceió;Manaus;Natal;Palmas;Porto Velho;Rio de Janeiro;São Luís;São Paulo;Teresina;Vitória,nome+avaliacao,bar;sports_bar;association_or_organization;restaurant;food;point_of_interest;establishment,4.6,5137,http://ludusluderia.com.br/,+55 11 99241-2211,https://maps.google.com/?cid=4286693351868805456&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJK-IiTfuVpgARx8rVtqv8c3g,Massula Nerd House,"R. Manoel João Diniz Camargos, 524 - Alvorada, Contagem - MG, 32042-220, Brazil",Belo Horizonte;Belém;Goiânia,avaliacao,pub;bar;point_of_interest;establishment,5,94,https://www.massulanerdhouse.com.br/,+55 31 99993-0950,https://maps.google.com/?cid=8679558721310149319&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJCdEZv21PpJQRg6vLc_9tIcc,Mestre dos Jogos LudoBar,"R. João Balbino, 537 - Santa Mônica, Uberlândia - MG, 38408-265, Brazil",Palmas,nome+avaliacao,pub;bar;association_or_organization;point_of_interest;establishment,4.7,133,http://www.mestredosjogos.app/,+55 34 99167-2554,https://maps.google.com/?cid=14348870831705926531&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJV-ILP3axnZMRXR-ujzUSeoM,Mister Game Drinks,"R. canario da terra, 15 - Morada da Serra, Cuiabá - MT, 78058-208, Brazil",Cuiabá,nome,bar;point_of_interest;establishment,4.4,7,http://www.misterdrinks.com.br/,+55 65 99999-7217,https://maps.google.com/?cid=9473904787380379485&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJMwO7YgDdrAcRiYUURL8xCls,Mokuzai café e jogos,"R. Funcionário Odon Almeida, 271 - Mangabeira, João Pessoa - PB, 58058-520, Brazil",João Pessoa,nome,coffee_shop;hamburger_restaurant;cafe;american_restaurant;restaurant;point_of_interest;association_or_organization;food_store;store;food;establishment,4.2,49,https://www.instagram.com/cafe.mokuzai?igsh=MWh5cm9tMnk5OG5odw==,+55 83 99620-3082,https://maps.google.com/?cid=6560110504769258889&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJa6-7T2uxGgcR4K-1owvXsuI,Multiverso Game Point,"Tv. 5 Cj Jorn O Dantas, 37 - São Conrado, Aracaju - SE, 49042-971, Brazil",Aracaju,nome,toy_store;cafe;store;point_of_interest;food;establishment,4.9,178,http://www.multiversogamepoint.store/,+55 79 99199-9206,https://maps.google.com/?cid=16335355243417415648&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJRUjwU66WoGgRzc9yJU7jkwM,Nala Land - Bar de Jogos de Tabuleiro em Recife,"R. Raul Pompéia, 271 - Arruda, Recife - PE, 52120-150, Brazil",Boa Vista;Recife,nome+avaliacao,hamburger_restaurant;snack_bar;meal_takeaway;american_restaurant;restaurant;food;point_of_interest;association_or_organization;establishment,4.9,206,https://nala.lends.com.br/,+55 81 99626-1703,https://maps.google.com/?cid=257799528465485773&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
ChIJye7AnK07WpMRC94S9hM95Y4,Orgutal Casa de Jogos,"CLN 205, bloco B, loja 11, 2º andar - Asa Norte, Brasília - DF, 70843-520, Brazil",Brasília;Campo Grande,nome,sports_bar;amusement_center;toy_store;bar;store;point_of_interest;establishment,4.7,466,https://www.orgutal.com.br/,+55 61 99699-5999,https://maps.google.com/?cid=10296703278994611723&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,,,,
